ConceptID,ConceptLabel,Dependencies
1,AI Definition,
2,ML Definition,1
3,History Of AI,
4,Nobel Prizes,3
5,Key Figures,3
6,AI Branches,1
7,Symbolic AI,6
8,Data-Driven AI,6
9,NN Origins,3|8
10,Biological Inspiration,
11,Python Setup,
12,Conda Environment,11
13,Jupyter Notebooks,11
14,NumPy Basics,11
15,Pandas Basics,11
16,Matplotlib Basics,11
17,SciPy Basics,11
18,Scikit-Learn Overview,14|15|16|17
19,PyTorch Intro,11|14
20,TensorFlow Intro,11|14
21,Supervised Vs Unsupervised,2
22,Regression Vs Classification,21
23,Overfitting Vs Underfitting,22
24,Training-Validation-Test,23
25,Bias-Variance Tradeoff,23
26,Regularization Overview,25
27,Cross-Validation,24
28,Evaluation Metrics,22
29,Loss Functions,23
30,Gradient Descent,29
31,Data Preprocessing,2
32,Scaling And Normalization,31
33,Data Augmentation,31
34,Feature Engineering,31
35,Dimensionality Concepts,34
36,Data Splits,24
37,Data Visualization,15|16
38,Data Cleaning,31
39,Data Imbalance,38
40,Data Ethics,39
41,Perceptron Model,9
42,Multi-Layer Perceptron,41
43,Activation Functions,42
44,Forward Propagation,43
45,Backpropagation,44
46,Weights And Biases,41
47,Batch Training,45
48,Mini-Batch Training,47
49,Stochastic Training,48
50,Learning Rate,30
51,Loss Surface,29
52,Local Minima,51
53,Vanishing Gradients,45
54,Exploding Gradients,53
55,Initialization Methods,42
56,He Initialization,55
57,Xavier Initialization,55
58,Momentum Optimizer,30
59,AdaGrad,30
60,Adam Optimizer,58|59
61,Convolution Operation,9
62,Filters And Kernels,61
63,Pooling Layers,61
64,Stride And Padding,61
65,Fully Connected Layers,42
66,Batch Normalization,47
67,CNN Architectures,62|63
68,ImageNet,67
69,Transfer Learning Basics,67
70,Object Detection,69
71,Sequence Modeling,42
72,Vanilla RNN,71
73,LSTM Units,72
74,GRU Units,72
75,Backprop Through Time (BPTT),45|72
76,Exploding Gradient Control,54
77,Language Modeling,71
78,Text Generation,77
79,Time-Series Forecasting,72
80,Attention Mechanism,71
81,Deep Architecture,42
82,Layer Stacking,81
83,Depth Vs Width,82
84,Residual Networks (ResNet),83
85,Inception Modules,83
86,DenseNet,84
87,Skip Connections,84
88,Dropout,26
89,BatchNorm,66
90,Weight Decay,26
91,Capsule Networks,67
92,Graph Neural Networks (GNNs),9
93,Transformers Intro,80
94,Vision Transformers (ViT),93|61
95,Self-Attention,93
96,Positional Encoding,93
97,BERT Overview,93
98,GPT Overview,93
99,Sequence-To-Sequence,72|93
100,Neural Machine Translation,99
101,Generative Models,42
102,Autoencoders (AE),101
103,Variational Autoencoders (VAE),102
104,GAN Basics,101
105,Generator Vs Discriminator,104
106,Latent Space,103|104
107,Conditional GAN,104
108,CycleGAN,104
109,Style Transfer,104
110,Text-To-Image,104
111,Diffusion Models,101
112,Denoising Diffusion,111
113,Score Matching,111
114,Likelihood Estimation,101
115,Energy-Based Models,101
116,Flow-Based Models,101
117,Prompt Engineering,98
118,Text Generation Models,93
119,Large Language Models (LLMs),93
120,ChatGPT Concept,119
121,PCA,35
122,t-SNE,35
123,UMAP,35
124,Autoencoder DR,102
125,Manifold Hypothesis,35
126,Feature Space,34
127,Principal Components,121
128,Nonlinear Embeddings,122
129,High-Dimensional Data,121
130,Data Visualization Tools,37
131,RL Definition,1
132,Markov Decision Process (MDP),131
133,Value Functions,132
134,Policy Gradient,133
135,Q-Learning,132
136,Deep Q-Network (DQN),135
137,Actor-Critic,134
138,Reward Shaping,133
139,Exploration Vs Exploitation,131
140,Baseline Algorithms,137
141,Model Interpretability,28
142,Explainable AI (XAI),141
143,SHAP,142
144,LIME,142
145,Fairness,142
146,Bias Mitigation,145
147,Privacy,40
148,Security,147
149,Adversarial Examples,148
150,Responsible AI,145|149
151,GPU Acceleration,81
152,TPU Acceleration,151
153,Memory Management,151
154,Model Compression,153
155,Quantization,154
156,Pruning,154
157,Edge Deployment,154
158,Cloud Services,154
159,AutoML,18
160,MLOps,159
161,Hyperparameter Tuning,160
162,Grid Search,161
163,Random Search,161
164,Bayesian Optimization,161
165,Early Stopping,26
166,Learning Rate Scheduling,50
167,Data Parallelism,151
168,Model Parallelism,151
169,Checkpointing,24
170,Version Control,196
171,Accuracy,28
172,Precision,28
173,Recall,28
174,F1 Score,28
175,AUC-ROC,28
176,Confusion Matrix,28
177,Top-1 Vs Top-5 Accuracy,28
178,BLEU Score,78
179,Perplexity,77
180,Mean Squared Error (MSE),28
181,Computer Vision,67
182,Natural Language Processing (NLP),71
183,Speech Recognition,71
184,Medical Imaging,67
185,Drug Discovery,2
186,Protein Folding,185
187,Autonomous Driving,181
188,Robotics,2
189,Financial Forecasting,79
190,Recommender Systems,2
191,Project Scoping,
192,Requirement Analysis,191
193,Data Acquisition,192
194,Data Annotation,193
195,Resource Allocation,192
196,Team Collaboration,195
197,Version Control Workflow,170
198,Agile Methods,196
199,Code Review,170
200,Documentation,199